logical_path	kind	bytes	digest_scheme	digest	role_and_regeneration
runs/post-v1/archive-root-gate-a-r3/archives/H.v2.aie	rooted_aie	73709402	sha256	8b6894b69fdb6a9a5d6a17151a7edff2c1bcb7d3f124b577ba0c4d6604cc86c9	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/collections/build-benchmark/b01-p1-v1.aicollection	collection	8931414	sha256	488b20a7a19051ede3f8bf988a7f28f59ed10f5a77768a70de88a903228e4ca4	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/collections/build-benchmark/b01-p2-v2.aicollection	collection	8931403	sha256	b9d31dd11fed869009e78b9b5bcbd2555379745ebeb38f8864c8d00813db2b19	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/collections/build-benchmark/b02-p1-v2.aicollection	collection	8931403	sha256	b9d31dd11fed869009e78b9b5bcbd2555379745ebeb38f8864c8d00813db2b19	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/collections/build-benchmark/b02-p2-v1.aicollection	collection	8931414	sha256	488b20a7a19051ede3f8bf988a7f28f59ed10f5a77768a70de88a903228e4ca4	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/collections/build-benchmark/b03-p1-v1.aicollection	collection	8931414	sha256	488b20a7a19051ede3f8bf988a7f28f59ed10f5a77768a70de88a903228e4ca4	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/collections/build-benchmark/b03-p2-v2.aicollection	collection	8931403	sha256	b9d31dd11fed869009e78b9b5bcbd2555379745ebeb38f8864c8d00813db2b19	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/collections/build-benchmark/b04-p1-v2.aicollection	collection	8931403	sha256	b9d31dd11fed869009e78b9b5bcbd2555379745ebeb38f8864c8d00813db2b19	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/collections/build-benchmark/b04-p2-v1.aicollection	collection	8931414	sha256	488b20a7a19051ede3f8bf988a7f28f59ed10f5a77768a70de88a903228e4ca4	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/collections/build-benchmark/b05-p1-v1.aicollection	collection	8931414	sha256	488b20a7a19051ede3f8bf988a7f28f59ed10f5a77768a70de88a903228e4ca4	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/collections/build-benchmark/b05-p2-v2.aicollection	collection	8931403	sha256	b9d31dd11fed869009e78b9b5bcbd2555379745ebeb38f8864c8d00813db2b19	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/collections/build-benchmark/b06-p1-v2.aicollection	collection	8931403	sha256	b9d31dd11fed869009e78b9b5bcbd2555379745ebeb38f8864c8d00813db2b19	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/collections/build-benchmark/b06-p2-v1.aicollection	collection	8931414	sha256	488b20a7a19051ede3f8bf988a7f28f59ed10f5a77768a70de88a903228e4ca4	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/collections/build-benchmark/b07-p1-v1.aicollection	collection	8931414	sha256	488b20a7a19051ede3f8bf988a7f28f59ed10f5a77768a70de88a903228e4ca4	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/collections/build-benchmark/b07-p2-v2.aicollection	collection	8931403	sha256	b9d31dd11fed869009e78b9b5bcbd2555379745ebeb38f8864c8d00813db2b19	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/collections/build-benchmark/b08-p1-v2.aicollection	collection	8931403	sha256	b9d31dd11fed869009e78b9b5bcbd2555379745ebeb38f8864c8d00813db2b19	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/collections/build-benchmark/b08-p2-v1.aicollection	collection	8931414	sha256	488b20a7a19051ede3f8bf988a7f28f59ed10f5a77768a70de88a903228e4ca4	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/collections/v1-base.aicollection	collection	4751002	sha256	2773ddd85bf8341b8f0c8145b32225ee536bd910045acfb537e6974f508d809a	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/collections/v1-extension.aicollection	collection	4719655	sha256	4151e8fd275f935a437035ca2b1e5b30d069beabee6e5f9dcb670e7863e9caf9	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/collections/v1-root-reverse.aicollection	collection	8931414	sha256	488b20a7a19051ede3f8bf988a7f28f59ed10f5a77768a70de88a903228e4ca4	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/collections/v1-root.aicollection	collection	8931414	sha256	488b20a7a19051ede3f8bf988a7f28f59ed10f5a77768a70de88a903228e4ca4	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/collections/v2-base.aicollection	collection	4751001	sha256	faaabdc26bfda95a2fdbf5caae0c0978d7ec4eb38c4d699dc6fbc5e1a109910f	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/collections/v2-extension.aicollection	collection	4719540	sha256	24e9f33cbd133ee42a2269df044e334fdb7d565faaf713ca5bbafb757db94b50	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/collections/v2-root-reverse.aicollection	collection	8931403	sha256	b9d31dd11fed869009e78b9b5bcbd2555379745ebeb38f8864c8d00813db2b19	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/collections/v2-root.aicollection	collection	8931403	sha256	b9d31dd11fed869009e78b9b5bcbd2555379745ebeb38f8864c8d00813db2b19	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/replay/benchmark/b01-p1-v1	matrix_tree	175719980	canonical-tree-sha256	723be5a21f3152cc47c2d07aa044600851dd6b6e1155cb873c4d60d0c4e6a5c7	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/replay/benchmark/b01-p2-v2	matrix_tree	175719980	canonical-tree-sha256	723be5a21f3152cc47c2d07aa044600851dd6b6e1155cb873c4d60d0c4e6a5c7	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/replay/benchmark/b02-p1-v2	matrix_tree	175719980	canonical-tree-sha256	723be5a21f3152cc47c2d07aa044600851dd6b6e1155cb873c4d60d0c4e6a5c7	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/replay/benchmark/b02-p2-v1	matrix_tree	175719980	canonical-tree-sha256	723be5a21f3152cc47c2d07aa044600851dd6b6e1155cb873c4d60d0c4e6a5c7	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/replay/benchmark/b03-p1-v1	matrix_tree	175719980	canonical-tree-sha256	723be5a21f3152cc47c2d07aa044600851dd6b6e1155cb873c4d60d0c4e6a5c7	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/replay/benchmark/b03-p2-v2	matrix_tree	175719980	canonical-tree-sha256	723be5a21f3152cc47c2d07aa044600851dd6b6e1155cb873c4d60d0c4e6a5c7	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/replay/benchmark/b04-p1-v2	matrix_tree	175719980	canonical-tree-sha256	723be5a21f3152cc47c2d07aa044600851dd6b6e1155cb873c4d60d0c4e6a5c7	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/replay/benchmark/b04-p2-v1	matrix_tree	175719980	canonical-tree-sha256	723be5a21f3152cc47c2d07aa044600851dd6b6e1155cb873c4d60d0c4e6a5c7	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/replay/benchmark/b05-p1-v1	matrix_tree	175719980	canonical-tree-sha256	723be5a21f3152cc47c2d07aa044600851dd6b6e1155cb873c4d60d0c4e6a5c7	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/replay/benchmark/b05-p2-v2	matrix_tree	175719980	canonical-tree-sha256	723be5a21f3152cc47c2d07aa044600851dd6b6e1155cb873c4d60d0c4e6a5c7	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/replay/benchmark/b06-p1-v2	matrix_tree	175719980	canonical-tree-sha256	723be5a21f3152cc47c2d07aa044600851dd6b6e1155cb873c4d60d0c4e6a5c7	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/replay/benchmark/b06-p2-v1	matrix_tree	175719980	canonical-tree-sha256	723be5a21f3152cc47c2d07aa044600851dd6b6e1155cb873c4d60d0c4e6a5c7	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/replay/benchmark/b07-p1-v1	matrix_tree	175719980	canonical-tree-sha256	723be5a21f3152cc47c2d07aa044600851dd6b6e1155cb873c4d60d0c4e6a5c7	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/replay/benchmark/b07-p2-v2	matrix_tree	175719980	canonical-tree-sha256	723be5a21f3152cc47c2d07aa044600851dd6b6e1155cb873c4d60d0c4e6a5c7	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/replay/benchmark/b08-p1-v2	matrix_tree	175719980	canonical-tree-sha256	723be5a21f3152cc47c2d07aa044600851dd6b6e1155cb873c4d60d0c4e6a5c7	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/replay/benchmark/b08-p2-v1	matrix_tree	175719980	canonical-tree-sha256	723be5a21f3152cc47c2d07aa044600851dd6b6e1155cb873c4d60d0c4e6a5c7	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/replay/canonical/v1-gene-eager	matrix_tree	175719980	canonical-tree-sha256	723be5a21f3152cc47c2d07aa044600851dd6b6e1155cb873c4d60d0c4e6a5c7	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/replay/canonical/v1-gene-stream	matrix_tree	175719980	canonical-tree-sha256	723be5a21f3152cc47c2d07aa044600851dd6b6e1155cb873c4d60d0c4e6a5c7	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/replay/canonical/v1-velocity-eager	matrix_tree	432921562	canonical-tree-sha256	d78cd409de036612c3bf30fbcf6739080c8dc913a9b1f373f724756b4eac3a80	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/replay/canonical/v1-velocity-stream	matrix_tree	432921562	canonical-tree-sha256	d78cd409de036612c3bf30fbcf6739080c8dc913a9b1f373f724756b4eac3a80	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/replay/canonical/v2-gene-eager	matrix_tree	175719980	canonical-tree-sha256	723be5a21f3152cc47c2d07aa044600851dd6b6e1155cb873c4d60d0c4e6a5c7	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/replay/canonical/v2-gene-stream	matrix_tree	175719980	canonical-tree-sha256	723be5a21f3152cc47c2d07aa044600851dd6b6e1155cb873c4d60d0c4e6a5c7	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/replay/canonical/v2-velocity-eager	matrix_tree	432921562	canonical-tree-sha256	d78cd409de036612c3bf30fbcf6739080c8dc913a9b1f373f724756b4eac3a80	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
runs/post-v1/archive-root-gate-a-r3/replay/canonical/v2-velocity-stream	matrix_tree	432921562	canonical-tree-sha256	d78cd409de036612c3bf30fbcf6739080c8dc913a9b1f373f724756b4eac3a80	generated by scripts/209_benchmark_archive_root.py and validated by scripts/210_validate_archive_root.py; do not commit the artifact
